,results__list_name,results__display_name,results__list_name_encoded,results__oldest_published_date,results__newest_published_date,results__updated
0,Combined Print and E-Book Fiction,Combined Print & E-Book Fiction,combined-print-and-e-book-fiction,2011-02-13,2021-04-18,WEEKLY
1,Combined Print and E-Book Nonfiction,Combined Print & E-Book Nonfiction,combined-print-and-e-book-nonfiction,2011-02-13,2021-04-18,WEEKLY
2,Hardcover Fiction,Hardcover Fiction,hardcover-fiction,2008-06-08,2021-04-18,WEEKLY
3,Hardcover Nonfiction,Hardcover Nonfiction,hardcover-nonfiction,2008-06-08,2021-04-18,WEEKLY
4,Trade Fiction Paperback,Paperback Trade Fiction,trade-fiction-paperback,2008-06-08,2021-04-18,WEEKLY
5,Mass Market Paperback,Paperback Mass-Market Fiction,mass-market-paperback,2008-06-08,2017-01-29,WEEKLY
6,Paperback Nonfiction,Paperback Nonfiction,paperback-nonfiction,2008-06-08,2021-04-18,WEEKLY
7,E-Book Fiction,E-Book Fiction,e-book-fiction,2011-02-13,2017-01-29,WEEKLY
8,E-Book Nonfiction,E-Book Nonfiction,e-book-nonfiction,2011-02-13,2017-01-29,WEEKLY
9,Hardcover Advice,Hardcover Advice & Misc.,hardcover-advice,2008-06-08,2013-04-21,WEEKLY
10,Paperback Advice,Paperback Advice & Misc.,paperback-advice,2008-06-08,2013-04-21,WEEKLY
15,Combined Print Fiction,Combined Hardcover & Paperback Fiction,combined-print-fiction,2011-02-13,2013-05-12,WEEKLY
16,Combined Print Nonfiction,Combined Hardcover & Paperback Nonfiction,combined-print-nonfiction,2011-02-13,2013-05-12,WEEKLY
24,Series Books,Childrenâ€™s Series,series-books,2008-06-08,2021-04-18,WEEKLY
25,Young Adult,Young Adult,young-adult,2012-12-16,2015-08-23,WEEKLY
26,Young Adult E-Book,Young Adult E-Book,young-adult-e-book,2015-08-30,2017-01-29,WEEKLY
27,Young Adult Hardcover,Young Adult Hardcover,young-adult-hardcover,2015-08-30,2021-04-18,WEEKLY
28,Young Adult Paperback,Young Adult Paperback,young-adult-paperback,2015-08-30,2017-01-29,WEEKLY
35,Culture,Culture,culture,2014-10-12,2017-01-15,MONTHLY
36,Education,Education,education,2014-10-12,2017-01-15,MONTHLY
43,Hardcover Business Books,Hardcover Business Books,hardcover-business-books,2011-07-03,2013-10-13,MONTHLY
49,Middle Grade Paperback Monthly,Middle Grade Paperback,middle-grade-paperback-monthly,2019-10-13,2021-04-18,MONTHLY
50,Paperback Business Books,Paperback Business Books,paperback-business-books,2011-07-03,2013-10-13,MONTHLY
52,Hardcover Political Books,Politics and American History,hardcover-political-books,2011-07-03,2017-01-15,MONTHLY
53,Race and Civil Rights,Race and Civil Rights,race-and-civil-rights,2014-12-14,2017-01-15,MONTHLY
54,Religion Spirituality and Faith,"Religion, Spirituality and Faith",religion-spirituality-and-faith,2014-09-07,2017-01-15,MONTHLY
55,Science,Science,science,2013-04-14,2019-09-15,MONTHLY
58,Young Adult Paperback Monthly,Young Adult Paperback,young-adult-paperback-monthly,2019-10-13,2021-04-18,MONTHLY
